[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.2% 65200/339123 		 Gender Loss 0.4876 		 Age MAE 7.49 		 Acc 0.7975 		 ETA 1170s
0.2% 65600/339123 		 Gender Loss 0.5029 		 Age MAE 7.24 		 Acc 0.7975 		 ETA 1169s
0.2% 66000/339123 		 Gender Loss 0.4595 		 Age MAE 6.99 		 Acc 0.8225 		 ETA 1167s
0.2% 66400/339123 		 Gender Loss 0.4637 		 Age MAE 7.06 		 Acc 0.8100 		 ETA 1165s
0.2% 66800/339123 		 Gender Loss 0.4501 		 Age MAE 7.49 		 Acc 0.8200 		 ETA 1163s
0.2% 67200/339123 		 Gender Loss 0.4746 		 Age MAE 7.68 		 Acc 0.8025 		 ETA 1162s
0.2% 67600/339123 		 Gender Loss 0.5120 		 Age MAE 7.36 		 Acc 0.7900 		 ETA 1160s
0.2% 68000/339123 		 Gender Loss 0.4880 		 Age MAE 7.94 		 Acc 0.7900 		 ETA 1158s
0.2% 68400/339123 		 Gender Loss 0.5157 		 Age MAE 7.59 		 Acc 0.7900 		 ETA 1156s
0.2% 68800/339123 		 Gender Loss 0.4795 		 Age MAE 8.04 		 Acc 0.7975 		 ETA 1154s
0.2% 69200/339123 		 Gender Loss 0.4586 		 Age MAE 7.39 		 Acc 0.8275 		 ETA 1153s
0.2% 69600/339123 		 Gender Loss 0.4571 		 Age MAE 7.35 		 Acc 0.8225 		 ETA 1151s
0.2% 70000/339123 		 Gender Loss 0.4796 		 Age MAE 8.26 		 Acc 0.8075 		 ETA 1149s
0.2% 70400/339123 		 Gender Loss 0.4731 		 Age MAE 8.36 		 Acc 0.8200 		 ETA 1147s
0.2% 70800/339123 		 Gender Loss 0.4895 		 Age MAE 8.20 		 Acc 0.8175 		 ETA 1146s
0.2% 71200/339123 		 Gender Loss 0.4696 		 Age MAE 7.20 		 Acc 0.8100 		 ETA 1144s
0.2% 71600/339123 		 Gender Loss 0.4995 		 Age MAE 7.40 		 Acc 0.7925 		 ETA 1142s
0.2% 72000/339123 		 Gender Loss 0.4644 		 Age MAE 7.58 		 Acc 0.8225 		 ETA 1140s
0.2% 72400/339123 		 Gender Loss 0.4763 		 Age MAE 7.27 		 Acc 0.8050 		 ETA 1139s
0.2% 72800/339123 		 Gender Loss 0.4837 		 Age MAE 6.96 		 Acc 0.8075 		 ETA 1137s
0.2% 73200/339123 		 Gender Loss 0.4898 		 Age MAE 7.77 		 Acc 0.8025 		 ETA 1135s
0.2% 73600/339123 		 Gender Loss 0.4830 		 Age MAE 7.74 		 Acc 0.8075 		 ETA 1133s
0.2% 74000/339123 		 Gender Loss 0.4459 		 Age MAE 8.17 		 Acc 0.8350 		 ETA 1131s
0.2% 74400/339123 		 Gender Loss 0.4901 		 Age MAE 7.84 		 Acc 0.7900 		 ETA 1130s
0.2% 74800/339123 		 Gender Loss 0.4659 		 Age MAE 7.73 		 Acc 0.8175 		 ETA 1128s
0.2% 75200/339123 		 Gender Loss 0.4762 		 Age MAE 7.66 		 Acc 0.8100 		 ETA 1126s
0.2% 75600/339123 		 Gender Loss 0.4814 		 Age MAE 7.38 		 Acc 0.8025 		 ETA 1124s
0.2% 76000/339123 		 Gender Loss 0.4807 		 Age MAE 7.95 		 Acc 0.8150 		 ETA 1123s
0.2% 76400/339123 		 Gender Loss 0.4998 		 Age MAE 7.63 		 Acc 0.7850 		 ETA 1121s
